md_file,acordao,relatorio,voto
./md_files/ELEGIS-1721919623.md,True,True,False
./md_files/ELEGIS-1724247386.md,True,True,True
./md_files/ELEGIS-1712517747733.md,True,True,True
./md_files/ELEGIS-1712518207726.md,True,True,True
./md_files/ELEGIS-1710899982609.md,True,True,True
./md_files/ELEGIS-1718964671.md,True,True,True
./md_files/ELEGIS-1721316653.md,True,True,True
./md_files/ELEGIS-1713911795250.md,True,True,True
./md_files/ELEGIS-1713816029739.md,True,True,False
./md_files/ELEGIS-1710973511369.md,True,True,True
./md_files/ELEGIS-1724686802.md,True,True,True
./md_files/ELEGIS-1720612016.md,True,True,False
./md_files/ELEGIS-1717594717.md,True,True,True
./md_files/ELEGIS-1708656246535.md,True,True,True
./md_files/ELEGIS-1715177203.md,True,True,True
./md_files/ELEGIS-1724075782.md,False,False,False
./md_files/ELEGIS-1708650866066.md,True,True,True
./md_files/ELEGIS-1715177248.md,True,True,True
./md_files/ELEGIS-1720614899.md,True,True,False
./md_files/ELEGIS-1712510696661.md,True,True,True
./md_files/ELEGIS-1724936886.md,True,True,False
./md_files/ELEGIS-1719940838.md,True,True,False
./md_files/ELEGIS-1716293149.md,True,True,False
./md_files/ELEGIS-1715353573.md,True,True,True
./md_files/ELEGIS-1724252184.md,True,True,True
./md_files/ELEGIS-1720097027.md,True,True,True
./md_files/ELEGIS-1723569099.md,True,True,True
./md_files/ELEGIS-1710974435641.md,True,True,True
./md_files/ELEGIS-1712704364289.md,True,True,True
./md_files/ELEGIS-1708627366799.md,True,True,True
./md_files/ELEGIS-1718990483.md,True,True,True
./md_files/ELEGIS-1714952740469.md,True,True,True
./md_files/ELEGIS-1720613569.md,True,True,False
./md_files/ELEGIS-1717594007.md,True,True,True
./md_files/ELEGIS-1712517621170.md,True,True,True
./md_files/ELEGIS-1718990598.md,True,True,True
./md_files/ELEGIS-1720614594.md,True,True,False
./md_files/ELEGIS-1707957960127.md,True,True,True
./md_files/ELEGIS-1719940715.md,True,True,False
./md_files/ELEGIS-1712624731099.md,True,True,True
./md_files/ELEGIS-1708627196409.md,True,True,True
./md_files/ELEGIS-1720446281.md,True,True,True
./md_files/ELEGIS-1712704402224.md,True,True,True
./md_files/ELEGIS-1724676969.md,True,True,True
./md_files/ELEGIS-1713813978168.md,True,True,False
./md_files/ELEGIS-1715594329.md,True,True,True
./md_files/ELEGIS-1713911331952.md,True,True,True
./md_files/ELEGIS-1708622684922.md,True,True,True
./md_files/ELEGIS-1724936432.md,True,True,True
./md_files/ELEGIS-1720098440.md,True,True,True
./md_files/ELEGIS-1708650015649.md,True,True,True
./md_files/ELEGIS-1715353146.md,True,True,True
./md_files/ELEGIS-1711120226521.md,True,True,True
./md_files/ELEGIS-1724247444.md,False,True,True
./md_files/ELEGIS-1721918939.md,True,True,False
./md_files/ELEGIS-1723535387.md,True,True,False
./md_files/ELEGIS-1720097339.md,True,True,True
./md_files/ELEGIS-1720096952.md,True,True,True
./md_files/ELEGIS-1712704031448.md,True,True,True
./md_files/ELEGIS-1709597131663.md,True,True,True
./md_files/ELEGIS-1724245879.md,True,True,True
./md_files/ELEGIS-1715353892.md,True,True,True
./md_files/ELEGIS-1724687154.md,True,True,True
./md_files/ELEGIS-1724075744.md,False,False,False
./md_files/ELEGIS-1714953227817.md,True,True,True
./md_files/ELEGIS-1715177148.md,True,True,True
./md_files/ELEGIS-1716293049.md,True,True,False
